,result_theta_l [deg],result_delta_h [m],lambda_delta,lambda_P,Pload
0,19.81623273552941,0.00030877726180911225,0.021912439631768293,32.86395645246704,50.0
1,18.168982025626978,0.002923333225728908,0.2074549222213382,362.98983056544,552.2613065326633
2,16.816144093509138,0.004864087696102137,0.3451809481695443,693.115704678413,1054.5226130653266
3,15.685500595036496,0.006343528631469475,0.45016976760225463,1023.241578791386,1556.78391959799
4,14.726332881973576,0.007497251360118917,0.5320439298874253,1353.367452904359,2059.045226130653
5,13.90211224294944,0.008414780495846097,0.5971565670007098,1683.493327017332,2561.3065326633164
6,13.185924828567295,0.009157022122448732,0.6498298912598337,2013.619201130305,3063.56783919598
7,12.557534142388251,0.00976651947808893,0.6930829919996309,2343.745075243278,3565.829145728643
8,12.001446681033487,0.010273688114645019,0.7290743148922206,2673.870949356251,4068.0904522613064
9,11.5056074050608,0.010700725228606767,0.7593790883894226,3003.9968234692237,4570.35175879397
10,11.060500362063976,0.011064129766754194,0.7851681635221276,3334.1226975821965,5072.613065326633
11,10.658515993445688,0.01137636756443905,0.8073261807687323,3664.2485716951696,5574.874371859296
12,10.293497783304701,0.01164699687848536,0.8265314437206809,3994.374445808143,6077.13567839196
13,9.960411917318197,0.011883444412748356,0.8433109898901827,4324.500319921116,6579.396984924623
14,9.65510286398967,0.012091550715455313,0.8580792949406879,4654.626194034089,7081.658291457286
15,9.37410998089945,0.012275959647402468,0.8711659113747341,4984.752068147061,7583.91959798995
16,9.11452813445976,0.012440400554063258,0.8828354929335775,5314.877942260035,8086.180904522613
17,8.87390051698276,0.012587896228888229,0.8933025527540224,5645.003816373008,8588.442211055277
18,8.650135323359791,0.012720917435181778,0.9027424290440529,5975.12969048598,9090.70351758794
19,8.441440325723308,0.012841499984240334,0.9112995935561334,6305.255564598954,9592.964824120603
20,8.246271021062059,0.012951332735509857,0.9190938965358402,6635.381438711926,10095.226130653265
21,8.063289184347012,0.013051827183429565,0.926225504966029,6965.5073128249,10597.48743718593
22,7.891329468939149,0.013144169572236408,0.9327786009042724,7295.633186937872,11099.748743718592
23,7.729372293424603,0.013229362948326773,0.9388243657370492,7625.759061050846,11602.010050251256
24,7.576521676392077,0.013308260479154899,0.9444233446619794,7955.884935163819,12104.27135678392
25,7.431986997116838,0.0133815913260521,0.9496272827575726,8286.010809276791,12606.532663316582
26,7.2950678950383,0.013449981199315397,0.9544805836791693,8616.136683389765,13108.793969849246
27,7.165141696414136,0.013513970354377292,0.9590215867606995,8946.262557502738,13611.055276381909
28,7.04165288668264,0.01357402651192996,0.963283483893858,9276.388431615711,14113.316582914573
29,6.924104252002508,0.013630556701956786,0.9672951600421523,9606.514305728682,14615.577889447235
